Tower Type,Bundle Type,Conductor Type,Impedance,Admittance,A,B,C,D,Vs,Is,Vr (KV),Vr angle (Degrees),Ir (A),Ir angle (Degrees),Cost (Million $),Real Power loss (%),Current limit (Summer),Current limit (Winter),Stability limit (MVA),Stability limit angle,Dynamic Stability limit (MVA),Dynamic Stability limit angle
Tower Type A1,No bundling – 1 conductor,AAC 9.0 mm diameter,(0.609+0.419j),2.6175292576204276e-06j,(0.999+0.001j),(19.496+13.42j),(-0+0j),(0.999+0.001j),132.0,699.8,118.6,-4.5,0.7,-0.9,5.3,10.34,110,308,171.79,34.5,141.95,17.3
Tower Type A1,"Bundling spacer – 2 conductor, 24 cm",AAC 9.0 mm diameter,(0.305+0.287j),3.830619442439883e-06j,(0.999+0.001j),(9.748+9.168j),(-0+0j),(0.999+0.001j),132.0,699.8,125.3,-2.9,0.7,-1.3,6.2,5.17,110,308,381.48,43.2,294.53,21.6
Tower Type A1,"Bundling spacer – 2 conductor, 32 cm",AAC 9.0 mm diameter,(0.305+0.277j),3.955391288305364e-06j,(0.999+0.001j),(9.748+8.879j),(-0+0j),(0.999+0.001j),132.0,699.8,125.3,-2.8,0.7,-1.3,6.3,5.17,110,308,374.29,42.3,289.71,21.2
Tower Type A1,"Bundling spacer – 3 conductor, 23 cm ",AAC 9.0 mm diameter,(0.203+0.244j),4.497407605134836e-06j,(0.999+0j),(6.499+7.808j),(-0+0j),(0.999+0j),132.0,699.8,127.5,-2.4,0.7,-1.5,7.1,3.45,110,308,633.06,50.2,476.44,25.1
Tower Type A1,"Bundling spacer – 3 conductor, 33 cm",AAC 9.0 mm diameter,(0.203+0.229j),4.794515586144e-06j,(0.999+0j),(6.499+7.325j),(-0+0j),(0.999+0j),132.0,699.8,127.5,-2.3,0.7,-1.6,7.3,3.45,110,308,617.04,48.4,465.9,24.2
Tower Type A1,"Bundling spacer – 4 conductor, 26 cm",AAC 9.0 mm diameter,(0.152+0.213j),5.158664593667276e-06j,(0.999+0j),(4.874+6.807j),(-0+0j),(0.999+0j),132.0,699.8,128.6,-2.1,0.7,-1.8,8.0,2.58,110,308,877.6,54.4,653.4,27.2
Tower Type A1,No bundling – 1 conductor,AAC 16.3 mm diameter,(0.186+0.382j),2.8732611831763078e-06j,(0.999+0j),(5.944+12.221j),(-0+0j),(0.999+0j),132.0,699.8,128.0,-3.8,0.7,-1.0,5.5,3.15,216,636,716.07,64.1,526.71,32.0
Tower Type A1,"Bundling spacer – 2 conductor, 24 cm",AAC 16.3 mm diameter,(0.093+0.268j),4.097473272576863e-06j,(0.999+0j),(2.972+8.57j),(-0+0j),(0.999+0j),132.0,699.8,130.0,-2.6,0.7,-1.4,6.6,1.58,216,636,1281.33,70.9,930.9,35.4
Tower Type A1,"Bundling spacer – 2 conductor, 32 cm",AAC 16.3 mm diameter,(0.093+0.259j),4.240559362273198e-06j,(0.999+0j),(2.972+8.281j),(-0+0j),(0.999+0j),132.0,699.8,130.0,-2.5,0.7,-1.5,6.7,1.58,216,636,1301.49,70.3,946.3,35.1
Tower Type A1,"Bundling spacer – 3 conductor, 23 cm ",AAC 16.3 mm diameter,(0.062+0.232j),4.738978162261975e-06j,(0.999+0j),(1.981+7.41j),(-0+0j),(0.999+0j),132.0,699.8,130.6,-2.3,0.7,-1.6,7.8,1.05,216,636,1673.56,75.0,1208.59,37.5
