Tower Type,Bundle Type,Conductor Type,Impedance,Admittance,A,B,C,D,Vs,Is,Vr (KV),Vr angle (Degrees),Ir (A),Ir angle (Degrees),Cost (Million $),Real Power loss (%),Thermal limit surpassed,Current limit (Summer),Current limit (Winter),Stability limit (MVA),Stability limit angle,Dynamic Stability limit (MVA),Dynamic Stability limit angle
Tower Type A1,No bundling – 1 conductor,AAC 9.0 mm diameter,(0.609+0.419j),2.6175292576204276e-06j,(0.999+0.001j),(20.713+14.259j),(-0+0j),(0.999+0.001j),132.0,699.8,117.8,-4.8,699.5,-0.9,5.6,10.98,True,110,308,163.73,34.5,135.84,17.3
Tower Type A1,"Bundling spacer – 2 conductor, 24 cm",AAC 9.0 mm diameter,(0.305+0.287j),3.830619442439883e-06j,(0.999+0.001j),(10.357+9.742j),(-0+0j),(0.999+0.001j),132.0,699.8,124.8,-3.1,699.6,-1.4,6.6,5.49,True,110,308,360.53,43.2,278.96,21.6
Tower Type A1,"Bundling spacer – 2 conductor, 32 cm",AAC 9.0 mm diameter,(0.305+0.277j),3.955391288305364e-06j,(0.999+0.001j),(10.357+9.434j),(-0+0j),(0.999+0.001j),132.0,699.8,124.8,-3.0,699.6,-1.4,6.7,5.49,True,110,308,353.87,42.3,274.52,21.2
Tower Type A1,"Bundling spacer – 3 conductor, 23 cm ",AAC 9.0 mm diameter,(0.203+0.244j),4.497407605134836e-06j,(0.999+0.001j),(6.904+8.296j),(-0+0j),(0.999+0.001j),132.0,699.8,127.2,-2.6,699.7,-1.6,7.5,3.66,True,110,308,596.66,50.2,449.56,25.1
Tower Type A1,"Bundling spacer – 3 conductor, 33 cm",AAC 9.0 mm diameter,(0.203+0.229j),4.794515586144e-06j,(0.999+0.001j),(6.904+7.783j),(-0+0j),(0.999+0.001j),132.0,699.8,127.2,-2.4,699.7,-1.7,7.7,3.66,True,110,308,581.78,48.4,439.84,24.2
Tower Type A1,"Bundling spacer – 4 conductor, 26 cm",AAC 9.0 mm diameter,(0.152+0.213j),5.158664593667276e-06j,(0.999+0j),(5.178+7.233j),(-0+0j),(0.999+0j),132.0,699.8,128.4,-2.2,699.8,-1.9,8.5,2.75,True,110,308,826.44,54.4,615.77,27.2
Tower Type A1,No bundling – 1 conductor,AAC 16.3 mm diameter,(0.186+0.382j),2.8732611831763078e-06j,(0.999+0j),(6.315+12.985j),(-0+0j),(0.999+0j),132.0,699.8,127.8,-4.1,699.5,-1.0,5.9,3.35,True,216,636,673.65,64.1,495.75,32.0
Tower Type A1,"Bundling spacer – 2 conductor, 24 cm",AAC 16.3 mm diameter,(0.093+0.268j),4.097473272576863e-06j,(0.999+0j),(3.157+9.105j),(-0+0j),(0.999+0j),132.0,699.8,129.9,-2.8,699.6,-1.5,7.0,1.67,True,216,636,1205.4,70.9,875.89,35.4
Tower Type A1,"Bundling spacer – 2 conductor, 32 cm",AAC 16.3 mm diameter,(0.093+0.259j),4.240559362273198e-06j,(0.999+0j),(3.157+8.798j),(-0+0j),(0.999+0j),132.0,699.8,129.9,-2.7,699.6,-1.5,7.1,1.67,True,216,636,1224.4,70.3,890.4,35.1
Tower Type A1,"Bundling spacer – 3 conductor, 23 cm ",AAC 16.3 mm diameter,(0.062+0.232j),4.738978162261975e-06j,(0.999+0j),(2.105+7.873j),(-0+0j),(0.999+0j),132.0,699.8,130.6,-2.4,699.7,-1.7,8.2,1.12,True,216,636,1574.51,75.0,1137.15,37.5
