Tower Type,Bundle Type,Conductor Type,Impedance,Admittance,A,B,C,D,Vs,Is,Vr (KV),Vr angle (Degrees),Ir (A),Ir angle (Degrees),Cost (Million $),Real Power loss (%),Thermal limit surpassed,Current limit (Summer),Current limit (Winter),Stability limit (MVA),Stability limit angle,Dynamic Stability limit (MVA),Dynamic Stability limit angle
Tower Type A1,No bundling – 1 conductor,AAC 9.0 mm diameter,(0.609+0.419j),2.6175292576204276e-06j,(0.981+0.027j),(110.755+77.676j),(-0+0j),(0.981+0.027j),132.0,699.8,72.7,-44.3,688.8,-3.7,30.3,58.84,True,110,308,38.95,35.0,35.66,17.5
Tower Type A1,"Bundling spacer – 2 conductor, 24 cm",AAC 9.0 mm diameter,(0.305+0.287j),3.830619442439883e-06j,(0.981+0.02j),(55.378+52.759j),(-0+0.001j),(0.981+0.02j),132.0,699.8,97.1,-20.7,691.9,-6.5,35.5,29.51,True,110,308,78.32,43.6,66.33,21.8
Tower Type A1,"Bundling spacer – 2 conductor, 32 cm",AAC 9.0 mm diameter,(0.305+0.277j),3.955391288305364e-06j,(0.981+0.02j),(55.378+51.118j),(-0+0.001j),(0.981+0.02j),132.0,699.8,96.6,-20.0,692.2,-6.7,36.0,29.52,True,110,308,78.19,42.7,66.57,21.4
Tower Type A1,"Bundling spacer – 3 conductor, 23 cm ",AAC 9.0 mm diameter,(0.203+0.244j),4.497407605134836e-06j,(0.981+0.015j),(36.919+44.816j),(-0+0.001j),(0.981+0.015j),132.0,699.8,107.8,-15.8,694.3,-8.1,40.6,19.72,True,110,308,117.8,50.5,94.37,25.3
Tower Type A1,"Bundling spacer – 3 conductor, 33 cm",AAC 9.0 mm diameter,(0.203+0.229j),4.794515586144e-06j,(0.981+0.016j),(36.919+42.063j),(-0+0.001j),(0.981+0.016j),132.0,699.8,107.2,-14.7,695.3,-8.6,41.7,19.74,True,110,308,117.37,48.7,94.84,24.4
Tower Type A1,"Bundling spacer – 4 conductor, 26 cm",AAC 9.0 mm diameter,(0.152+0.213j),5.158664593667276e-06j,(0.981+0.013j),(27.689+39.027j),(-0+0.001j),(0.981+0.013j),132.0,699.8,113.1,-13.1,697.0,-9.5,45.7,14.83,True,110,308,157.29,54.6,122.49,27.3
Tower Type A1,No bundling – 1 conductor,AAC 16.3 mm diameter,(0.186+0.382j),2.8732611831763078e-06j,(0.981+0.009j),(33.766+69.95j),(-0+0.001j),(0.981+0.009j),132.0,699.8,116.2,-24.3,689.9,-5.2,31.7,17.96,True,216,636,121.9,64.2,91.68,32.1
Tower Type A1,"Bundling spacer – 2 conductor, 24 cm",AAC 16.3 mm diameter,(0.093+0.268j),4.097473272576863e-06j,(0.981+0.006j),(16.883+49.016j),(-0+0.001j),(0.981+0.006j),132.0,699.8,122.4,-15.9,693.5,-7.8,38.1,9.01,True,216,636,217.53,71.0,159.61,35.5
Tower Type A1,"Bundling spacer – 2 conductor, 32 cm",AAC 16.3 mm diameter,(0.093+0.259j),4.240559362273198e-06j,(0.981+0.007j),(16.883+47.365j),(-0+0.001j),(0.981+0.007j),132.0,699.8,122.1,-15.3,694.0,-8.1,38.7,9.01,True,216,636,220.95,70.4,162.38,35.2
Tower Type A1,"Bundling spacer – 3 conductor, 23 cm ",AAC 16.3 mm diameter,(0.062+0.232j),4.738978162261975e-06j,(0.981+0.005j),(11.255+42.368j),(-0+0.001j),(0.981+0.005j),132.0,699.8,125.1,-13.4,695.9,-9.2,44.6,6.02,True,216,636,285.0,75.1,206.92,37.6
Tower Type A1,"Bundling spacer – 3 conductor, 33 cm",AAC 16.3 mm diameter,(0.062+0.216j),5.070035355472591e-06j,(0.981+0.005j),(11.255+39.604j),(-0+0.001j),(0.981+0.005j),132.0,699.8,124.6,-12.5,697.2,-9.8,45.7,6.03,True,216,636,296.45,74.1,215.7,37.1
Tower Type A1,"Bundling spacer – 4 conductor, 26 cm",AAC 16.3 mm diameter,(0.046+0.203j),5.3952609508631095e-06j,(0.981+0.004j),(8.442+37.21j),(-0+0.001j),(0.981+0.004j),132.0,699.8,126.2,-11.6,698.7,-10.5,51.0,4.53,True,216,636,344.33,77.2,248.87,38.6
Tower Type A1,No bundling – 1 conductor,AAC 21.0 mm diameter,(0.112+0.366j),2.9982141476233003e-06j,(0.981+0.006j),(20.343+66.976j),(-0+0.001j),(0.981+0.006j),132.0,699.8,124.2,-21.8,690.4,-5.7,32.9,10.82,True,299,875,170.16,73.1,124.1,36.6
Tower Type A1,"Bundling spacer – 2 conductor, 24 cm",AAC 21.0 mm diameter,(0.056+0.26j),4.222964204081824e-06j,(0.981+0.004j),(10.172+47.538j),(-0+0.001j),(0.981+0.004j),132.0,699.8,126.7,-15.0,694.1,-8.2,40.7,5.43,True,299,875,274.99,77.9,198.45,39.0
